School Name_x,Generated Revenue,Year,key,YEAR,School Name_y,SEED,ROUND,POWER RATING,Rank,School Name,Conference,Total Allocated
,,,North_Dakota_State_23,,,,,,117.0,North_Dakota_State_23,Summit,"$28,432,381.00"
,,,North_Florida_23,,,,,,190.0,North_Florida_23,Asun,"$14,456,960.00"
North Texas,"$610,048.00",2021-22,North_Texas_22,,,,,,,,,
North Texas,"$697,558.00",2022-23,North_Texas_23,,,,,,75.0,North_Texas_23,CUSA,"$44,222,540.00"
,,,Northern_Arizona_23,,,,,,129.0,Northern_Arizona_23,BigSky,"$25,388,969.00"
,,,Northern_Colorado_23,,,,,,141.0,Northern_Colorado_23,BigSky,"$18,973,253.00"
Northern Illinois,"$589,140.00",2021-22,Northern_Illinois_22,,,,,,,,,
Northern Illinois,"$517,765.00",2022-23,Northern_Illinois_23,,,,,,143.0,Northern_Illinois_23,MAC,"$24,097,387.00"
,,,Northern_Iowa_23,,,,,,170.0,Northern_Iowa_23,MVC,"$19,819,613.00"
,,,Northern_Kentucky_23,2023.0,Northern Kentucky,16.0,64.0,72.9,177.0,Northern_Kentucky_23,Hor,"$16,521,511.00"
,,,Northwestern_23,2023.0,Northwestern,7.0,32.0,82.2,,,,
,,,Northwestern_State_La_23,,,,,,201.0,Northwestern_State_La_23,SthLnd,"$13,234,261.00"
,,,Notre_Dame_22,2022.0,Notre Dame,11.0,32.0,81.6,,,,
,,,Oakland_23,,,,,,169.0,Oakland_23,Hor,"$17,325,703.00"
Ohio,"$1,253,993.00",2021-22,Ohio_22,,,,,,,,,
